id,"product_img","product-name","product-name href","new-price","WebRupee","btn","tah-vc-icon src","offer","bvideo-icon2 href","bvideo-icon2"
1,"https://kinclimg1.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPM0025R22_YAA22XXXXXXXXXXXX_ABCD00-PICS-00001-1024-85126.png","The Yashashvi Om Ring","https://www.bluestone.com/rings/the-yashashvi-om-ring~2792.html?impEvent=browseclick&posEvent=1&sortbyEvent=mostpopular&tagEvent=","1,26,424","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
2,"https://kinclimg4.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BVCC0611C03_YAA22XXXXXXXXXXXX_ABCD00-PICS-00003-1024-44626.png","The Shravya Gold Chain","https://www.bluestone.com/chains/the-shravya-gold-chain~59380.html?impEvent=browseclick&posEvent=2&sortbyEvent=mostpopular&tagEvent=","1,32,788","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges",,
3,"https://kinclimg6.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BVCC0002C01_YAA22XXXXXXXXXXXX_ABCD00-PICS-00003-1024-11235.png","The Yellow Gold Cable Chain","https://www.bluestone.com/chains/the-yellow-gold-cable-chain~4947.html?impEvent=browseclick&posEvent=3&sortbyEvent=mostpopular&tagEvent=","49,694","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges",,
4,"https://kinclimg4.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIVS0007P09_YAA22XXXXXXXXXXXX_ABCD00-PICS-00004-1024-34381.png","The Yagnakaya Pendant","https://www.bluestone.com/pendants/the-yagnakaya-pendant~905.html?impEvent=browseclick&posEvent=4&sortbyEvent=mostpopular&tagEvent=","52,118","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
5,,"The Janessa Pendant","https://www.bluestone.com/pendants/the-janessa-pendant~44327.html?impEvent=browseclick&posEvent=5&sortbyEvent=mostpopular&tagEvent=","56,915","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
6,"https://kinclimg3.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIVS0451R16_YAA22XXXXXXXXXXXX_ABCD00-PICS-00001-1024-66815.png","The Nouf Vanki Ring","https://www.bluestone.com/rings/the-nouf-vanki-ring~41480.html?impEvent=browseclick&posEvent=6&sortbyEvent=mostpopular&tagEvent=","53,424","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
7,"https://kinclimg1.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISP0597R09_YAA22XXXXXXXXXXXX_ABCD00-PICS-00001-1024-85158.png","The Basia Band For Him","https://www.bluestone.com/rings/the-basia-band-for-him~62402.html?impEvent=browseclick&posEvent=7&sortbyEvent=mostpopular&tagEvent=","64,183","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
8,"https://kinclimg2.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPM0042H08_YAA22XXXXXXXXXXXX_ABCD00-PICS-00004-1024-78022.png","The Vivaciously Designed Huggie Earrings","https://www.bluestone.com/earrings/the-vivaciously-designed-huggie-earrings~3788.html?impEvent=browseclick&posEvent=8&sortbyEvent=mostpopular&tagEvent=","53,489","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
9,"https://kinclimg0.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BINS0639R11_YAA22XXXXXXXXXXXX_ABCD00-PICS-00001-1024-65665.png","The Haily Ring","https://www.bluestone.com/rings/the-haily-ring~64366.html?impEvent=browseclick&posEvent=9&sortbyEvent=mostpopular&tagEvent=","72,882","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
10,,"The Legendary Ring","https://www.bluestone.com/rings/the-legendary-ring~2919.html?impEvent=browseclick&posEvent=10&sortbyEvent=mostpopular&tagEvent=","1,32,681","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
