id,"product-live-url","product-image","offer-price","original-price","product-charge","discount","product-name","product-badge"
1,"https://www.joyalukkas.in/mystic-floral-radiance-diamond-necklace-dsdn00012136.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdn00012136.jpg?tr=w-360","₹3,170,000","₹3,407,000","on Making Charges","50% Off","Mystic Floral Radiance Diamond Necklace","New"
2,"https://www.joyalukkas.in/novel-gold-bangles-ds1300046438.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/ds1300046438_1.jpg?tr=w-360","₹237,044","₹261,421","on Making Charges","50% Off","Novel Gold Bangles","Express Delivery"
3,"https://www.joyalukkas.in/gilded-lakshmi-grace-gold-necklace-cn1400070615.html","https://cdn.joyalukkas.in/media/catalog/product/c/l/cl1400070615.jpg?tr=w-360","₹697,000","₹773,000","on Making Charges","50% Off","Gilded Lakshmi Grace Gold Necklace",
4,"https://www.joyalukkas.in/uncommon-gold-bangles-ds1300026432.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/ds1300026432_1.jpg?tr=w-360","₹169,183","₹186,577","on Making Charges","50% Off","Uncommon Gold Bangles","New"
5,"https://www.joyalukkas.in/antique-floral-gold-necklace-ds1400109670.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/ds1400109673_1_1.jpg?tr=w-360","₹1,324,000","₹1,460,000","on Making Charges","50% Off","Antique Floral Gold Necklace",
6,"https://www.joyalukkas.in/astonishing-sea-shell-gold-bangle-bm13082608.html","https://cdn.joyalukkas.in/media/catalog/product/b/m/bm13082608_1.jpg?tr=w-360","₹335,250","₹369,565","on Making Charges","50% Off","Astonishing Sea Shell Gold Bangle","New"
7,"https://www.joyalukkas.in/regal-emerald-diamond-necklace-dsdn00015268.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdn00015268.jpg?tr=w-360","₹5,698,000","₹5,872,000","on Making Charges","50% Off","Regal Emerald Diamond Necklace",
8,"https://www.joyalukkas.in/charming-bloom-diamond-choker-dsdn00014366.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdn00014366.jpg?tr=w-360","₹1,722,000","₹1,865,000","on Making Charges","50% Off","Charming Bloom Diamond Choker","New"
9,"https://www.joyalukkas.in/pink-stone-mesh-designer-gold-bangle-bm13077239.html","https://cdn.joyalukkas.in/media/catalog/product/b/m/bm13077239_1.jpg?tr=w-360","₹167,807","₹184,815","on Making Charges","50% Off","Pink Stone Mesh Designer Gold Bangle","New"
10,"https://www.joyalukkas.in/lavish-bloom-diamond-earrings-dsde00044608.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsde00044608.jpg?tr=w-360","₹898,000","₹967,000","on Making Charges","50% Off","Lavish Bloom Diamond Earrings","New"
11,"https://www.joyalukkas.in/whirling-bliss-diamond-bangle-dsdg00004053.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdg00004053.jpg?tr=w-360","₹578,000","₹616,000","on Making Charges","50% Off","Whirling Bliss Diamond Bangle",
12,"https://www.joyalukkas.in/classic-round-plated-designer-gold-bangle-tc1300010980.html","https://cdn.joyalukkas.in/media/catalog/product/t/c/tc1300010980_1.jpg?tr=w-360","₹155,773","₹167,976","on Making Charges","50% Off","Classic Round Plated Designer Gold Bangle","Express Delivery"
13,"https://www.joyalukkas.in/layered-paisley-beauty-diamond-necklace-dsdn00012243.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdn00012243.jpg?tr=w-360","₹4,937,000","₹5,244,000","on Making Charges","50% Off","Layered Paisley Beauty Diamond Necklace",
14,"https://www.joyalukkas.in/mystic-floral-radiance-diamond-earrings-dsde00042603.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsde00042603.jpg?tr=w-360","₹397,493","₹457,660","on Making Charges","50% Off","Mystic Floral Radiance Diamond Earrings",
15,"https://www.joyalukkas.in/traditional-gold-necklace-ds1400026689.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/ds1400026689_1.jpg?tr=w-360","₹63,271","₹69,706","on Making Charges","50% Off","Traditional Gold Necklace","Express Delivery"
16,"https://www.joyalukkas.in/lavish-bloom-diamond-necklace-dsdn00015236.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdn00015236.jpg?tr=w-360","₹3,962,000","₹4,267,000","on Making Charges","50% Off","Lavish Bloom Diamond Necklace",
17,"https://www.joyalukkas.in/traditional-gold-necklace-ds1400026687.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/ds1400026687_1.jpg?tr=w-360","₹38,781","₹43,008","on Making Charges","50% Off","Traditional Gold Necklace","New"
18,"https://www.joyalukkas.in/flute-bliss-gold-jhumkas-ds1100204502.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/ds1100204502.jpg?tr=w-360","₹437,901","₹484,571","on Making Charges","50% Off","Flute Bliss Gold Jhumkas",
19,"https://www.joyalukkas.in/traditional-gold-necklace-ds1400026692.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/ds1400026692_1.jpg?tr=w-360","₹35,737","₹39,626","on Making Charges","50% Off","Traditional Gold Necklace","Express Delivery"
20,"https://www.joyalukkas.in/regal-peacock-blossom-diamond-necklace-dsdn00012145.html","https://cdn.joyalukkas.in/media/catalog/product/v/w/vwdn00012145.jpg?tr=w-360","₹3,082,000","₹3,294,000","on Making Charges","50% Off","Regal Peacock Blossom Diamond Necklace",
21,"https://www.joyalukkas.in/goddess-grace-gold-necklace-cn1400070607.html","https://cdn.joyalukkas.in/media/catalog/product/c/l/cl1400070607.jpg?tr=w-360","₹1,376,000","₹1,527,000","on Making Charges","50% Off","Goddess Grace Gold Necklace","New"
22,"https://www.joyalukkas.in/blush-red-stylish-round-pattern-gold-bangle-ds1300001780.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/ds1300001780_1.jpg?tr=w-360","₹194,619","₹211,491","on Making Charges","50% Off","Blush Red Stylish Round Pattern Gold Bangle","Express Delivery"
23,"https://www.joyalukkas.in/majestic-plumage-gold-jhumkas-cn1100134195.html","https://cdn.joyalukkas.in/media/catalog/product/c/n/cn1100134195.jpg?tr=w-360","₹274,544","₹304,130","on Making Charges","50% Off","Majestic Plumage Gold Jhumkas",
